coin_id,symbol,name,price,market_cap,volume,last_updated_at
bitcoin,btc,Bitcoin,90879.0,1813481533942,45785239934.0,2025-12-08 23:02:13.139000+00:00
ethereum,eth,Ethereum,3130.98,377681213683,25949225630.0,2025-12-08 23:02:13.684000+00:00
tether,usdt,Tether,1.0,185661216767,76167399982.0,2025-12-08 23:02:17.302000+00:00
ripple,xrp,XRP,2.08,125422852868,2997267010.0,2025-12-08 23:02:16.013000+00:00
binancecoin,bnb,BNB,899.69,123926020726,1500100097.0,2025-12-08 23:02:12.909000+00:00
usd-coin,usdc,USDC,0.999835,78243285598,10709439059.0,2025-12-08 23:02:17.776000+00:00
solana,sol,Solana,133.59,75049553357,5210204203.0,2025-12-08 23:02:16.304000+00:00
staked-ether,steth,Lido Staked Ether,3130.31,27219816683,31073432.0,2025-12-08 23:02:16.106000+00:00
tron,trx,TRON,0.282671,26765271401,529121916.0,2025-12-08 23:02:17.227000+00:00
dogecoin,doge,Dogecoin,0.143232,23145587193,1137197858.0,2025-12-08 23:02:11.470000+00:00
cardano,ada,Cardano,0.433641,15887084842,633887146.0,2025-12-08 23:02:10.726000+00:00
figure-heloc,figr_heloc,Figure Heloc,1.03,14489184585,11942257.0,2025-12-08 23:02:11.741000+00:00
whitebit,wbt,WhiteBIT Coin,61.24,13119596696,129717064.0,2025-12-08 23:02:17.593000+00:00
wrapped-steth,wsteth,Wrapped stETH,3825.73,12777777396,42710993.0,2025-12-08 23:02:17.892000+00:00
bitcoin-cash,bch,Bitcoin Cash,582.88,11637196745,308655116.0,2025-12-08 23:02:10.427000+00:00
wrapped-bitcoin,wbtc,Wrapped Bitcoin,90793.0,11343595601,233231140.0,2025-12-08 23:02:18.151000+00:00
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3398.98,11082084032,11629693.0,2025-12-08 23:02:17.614000+00:00
chainlink,link,Chainlink,13.81,9620989412,601632950.0,2025-12-08 23:02:11.037000+00:00
usds,usds,USDS,0.999627,9530932537,2547324.0,2025-12-08 23:02:17.096000+00:00
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8985541426,1198777500.0,2025-12-08 23:02:10.557000+00:00
leo-token,leo,LEO Token,9.55,8804969746,710331.0,2025-12-08 23:02:13.251000+00:00
weth,weth,WETH,3131.3,8571181971,119924276.0,2025-12-08 23:02:18.241000+00:00
wrapped-eeth,weeth,Wrapped eETH,3392.49,8013142971,26910123.0,2025-12-08 23:02:17.781000+00:00
hyperliquid,hype,Hyperliquid,29.52,7991887886,316397464.0,2025-12-08 23:02:12.533000+00:00
stellar,xlm,Stellar,0.24197,7827536464,123869078.0,2025-12-08 23:02:16.503000+00:00
monero,xmr,Monero,373.19,6882855822,139210351.0,2025-12-08 23:02:13.935000+00:00
zcash,zec,Zcash,413.19,6790864762,1313394801.0,2025-12-08 23:02:18.109000+00:00
ethena-usde,usde,Ethena USDe,0.999216,6644973084,197177780.0,2025-12-08 23:02:11.648000+00:00
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,90844.0,6600332072,483138167.0,2025-12-08 23:02:11.080000+00:00
litecoin,ltc,Litecoin,84.12,6443793350,503219316.0,2025-12-08 23:02:13.633000+00:00
sui,sui,Sui,1.62,6063085888,863361268.0,2025-12-08 23:02:16.746000+00:00
avalanche-2,avax,Avalanche,13.68,5872861070,330324835.0,2025-12-08 23:02:09.969000+00:00
hedera-hashgraph,hbar,Hedera,0.135209,5741867748,148016415.0,2025-12-08 23:02:12.376000+00:00
shiba-inu,shib,Shiba Inu,8.57e-06,5045519534,113884055.0,2025-12-08 23:02:15.890000+00:00
usdt0,usdt0,USDT0,1.0,4504640694,258202748.0,2025-12-08 23:02:17.825000+00:00
dai,dai,Dai,1.0,4334697851,84491787.0,2025-12-08 23:02:11.228000+00:00
susds,susds,sUSDS,1.082,4251991951,15986126.0,2025-12-08 23:02:16.344000+00:00
world-liberty-financial,wlfi,World Liberty Financial,0.150393,4097259108,109283345.0,2025-12-08 23:02:17.770000+00:00
the-open-network,ton,Toncoin,1.63,3984081025,118595159.0,2025-12-08 23:02:17.136000+00:00
crypto-com-chain,cro,Cronos,0.103285,3857624585,15579414.0,2025-12-08 23:02:10.881000+00:00
paypal-usd,pyusd,PayPal USD,0.999328,3817126847,123686668.0,2025-12-08 23:02:14.960000+00:00
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3630063827,67306107.0,2025-12-08 23:02:11.553000+00:00
mantle,mnt,Mantle,1.1,3582079889,120708191.0,2025-12-08 23:02:13.680000+00:00
uniswap,uni,Uniswap,5.63,3543663640,268939084.0,2025-12-08 23:02:17.463000+00:00
polkadot,dot,Polkadot,2.14,3512735503,195958202.0,2025-12-08 23:02:15.239000+00:00
aave,aave,Aave,192.1,2910377263,371199826.0,2025-12-08 23:02:09.427000+00:00
bittensor,tao,Bittensor,295.56,2837390312,153482782.0,2025-12-08 23:02:10.147000+00:00
usd1-wlfi,usd1,USD1,0.999023,2725507843,277414216.0,2025-12-08 23:02:17.509000+00:00
canton-network,cc,Canton,0.074775,2685900458,28025157.0,2025-12-08 23:02:10.544000+00:00
bitget-token,bgb,Bitget Token,3.56,2489822799,55446770.0,2025-12-08 23:02:10.010000+00:00
okb,okb,OKB,111.58,2344030854,39294295.0,2025-12-08 23:02:14.624000+00:00
near,near,NEAR Protocol,1.75,2249058440,177824213.0,2025-12-08 23:02:14.092000+00:00
memecore,m,MemeCore,1.3,2211220791,17263664.0,2025-12-08 23:02:13.585000+00:00
tether-gold,xaut,Tether Gold,4199.48,2193067798,249154913.0,2025-12-08 23:02:16.663000+00:00
falcon-finance,usdf,Falcon USD,0.999194,2188550477,258589.0,2025-12-08 23:02:11.659000+00:00
ethena,ena,Ethena,0.273268,2101301057,244301531.0,2025-12-08 23:02:11.712000+00:00
ethereum-classic,etc,Ethereum Classic,13.44,2080692578,55172109.0,2025-12-08 23:02:11.677000+00:00
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2029279036,0.0,2025-12-08 23:00:07.189000+00:00
pepe,pepe,Pepe,4.76e-06,2003438827,488591856.0,2025-12-08 23:02:15.088000+00:00
aster-2,aster,Aster,0.948901,1988377882,280284296.0,2025-12-08 23:02:09.649000+00:00
binance-peg-weth,weth,Binance-Peg WETH,3127.68,1892247540,75610471.0,2025-12-08 23:02:10.141000+00:00
jito-staked-sol,jitosol,Jito Staked SOL,166.66,1886581246,24859979.0,2025-12-08 23:02:12.932000+00:00
internet-computer,icp,Internet Computer,3.42,1853417718,79951921.0,2025-12-08 23:02:12.908000+00:00
pi-network,pi,Pi Network,0.219926,1836529126,16111529.0,2025-12-08 23:02:14.847000+00:00
rain,rain,Rain,0.00768887,1826593312,24788216.0,2025-12-08 23:02:15.171000+00:00
pump-fun,pump,Pump.fun,0.00306787,1809915476,124047670.0,2025-12-08 23:02:15.321000+00:00
hash-2,hash,Provenance Blockchain,0.03315654,1734639500,66795.0,2025-12-08 23:02:12.248000+00:00
wrapped-solana,sol,Wrapped SOL,133.61,1699569576,711307343.0,2025-12-08 23:02:09.866000+00:00
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.67,1678594891,35784058.0,2025-12-08 23:02:13.030000+00:00
ondo-finance,ondo,Ondo,0.483062,1525617078,153379513.0,2025-12-08 23:02:14.516000+00:00
htx-dao,htx,HTX DAO,1.62e-06,1506924848,6512667.0,2025-12-08 23:02:12.430000+00:00
syrupusdc,syrupusdc,syrupUSDC,1.14,1504295472,5737106.0,2025-12-08 23:02:16.479000+00:00
worldcoin-wld,wld,Worldcoin,0.613428,1459999033,108642695.0,2025-12-08 23:02:17.890000+00:00
pax-gold,paxg,PAX Gold,4200.15,1428594755,105622532.0,2025-12-08 23:02:14.952000+00:00
kaspa,kas,Kaspa,0.052263,1398492197,21012971.0,2025-12-08 23:02:12.939000+00:00
global-dollar,usdg,Global Dollar,0.99969,1395481854,24098774.0,2025-12-08 23:02:12.166000+00:00
kucoin-shares,kcs,KuCoin,10.22,1325293175,4759237.0,2025-12-08 23:02:13.172000+00:00
aptos,apt,Aptos,1.79,1320333399,225235122.0,2025-12-08 23:02:09.615000+00:00
bfusd,bfusd,BFUSD,0.999203,1318955923,12479146.0,2025-12-08 23:02:09.878000+00:00
rocket-pool-eth,reth,Rocket Pool ETH,3600.81,1315350903,2510538.0,2025-12-08 23:02:15.482000+00:00
polygon-ecosystem-token,pol,POL (ex-MATIC),0.123827,1306773278,63699088.0,2025-12-08 23:02:15.159000+00:00
syrupusdt,syrupusdt,syrupUSDT,1.11,1306284020,4274851.0,2025-12-08 23:02:16.532000+00:00
hashnote-usyc,usyc,Circle USYC,1.11,1303476543,2664137.0,2025-12-08 23:02:12.226000+00:00
ripple-usd,rlusd,Ripple USD,0.999923,1293032183,45649590.0,2025-12-08 23:02:15.607000+00:00
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999794,1288637429,223292643.0,2025-12-08 23:02:10.324000+00:00
quant-network,qnt,Quant,88.38,1285475558,15730911.0,2025-12-08 23:02:15.408000+00:00
sky,sky,Sky,0.053733,1232451570,9789659.0,2025-12-08 23:02:16.041000+00:00
wbnb,wbnb,Wrapped BNB,899.31,1219234757,611625490.0,2025-12-08 23:02:18.109000+00:00
gatechain-token,gt,Gate,10.35,1213235379,2077114.0,2025-12-08 23:02:11.943000+00:00
arbitrum,arb,Arbitrum,0.212786,1195207863,115529925.0,2025-12-08 23:02:09.905000+00:00
algorand,algo,Algorand,0.134141,1183021927,33496692.0,2025-12-08 23:02:18.650000+00:00
binance-staked-sol,bnsol,Binance Staked SOL,145.19,1148967357,3933938.0,2025-12-08 23:02:10.028000+00:00
official-trump,trump,Official Trump,5.7,1138980375,208106053.0,2025-12-08 23:02:14.750000+00:00
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3315.73,1123929020,853106.0,2025-12-08 23:02:12.911000+00:00
filecoin,fil,Filecoin,1.51,1091635087,113104322.0,2025-12-08 23:02:11.864000+00:00
cosmos,atom,Cosmos Hub,2.26,1087491551,37981755.0,2025-12-08 23:02:11.103000+00:00
vechain,vet,VeChain,0.01256028,1080137445,23174412.0,2025-12-08 23:02:17.326000+00:00
ignition-fbtc,fbtc,Function FBTC,90424.0,1057688826,79284.0,2025-12-08 23:02:12.584000+00:00
flare-networks,flr,Flare,0.013074,1050912689,4594992.0,2025-12-08 23:02:11.719000+00:00
usdtb,usdtb,USDtb,1.001,1049865373,1479631.0,2025-12-08 23:02:17.075000+00:00
