id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,3.56,2489822799,50,3272347439,55446770.0,3.59,3.54,-0.005205589723830339,-0.1461,-226209.40633010864,-0.00908,699992035.9787906,919992035.9787906,2000000000.0,8.45,-57.93139,2024-12-27T11:41:24.992Z,0.0142795,24795.36351,2020-06-25T04:17:05.895Z,,2025-12-08T23:02:10.010Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,111.58,2344030854,51,2344030854,39294295.0,112.65,107.16,4.26,3.96982,92055908.0,4.08779,21000000.0,21000000.0,21000000.0,255.5,-56.3212,2025-08-22T01:50:26.131Z,0.580608,19121.29278,2019-01-14T00:00:00.000Z,,2025-12-08T23:02:14.624Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.75,2249058440,52,2249058498,177824213.0,1.79,1.69,0.053169,3.12486,62016094.0,2.83561,1281999021.0,1281999054.0,,20.44,-91.40998,2022-01-16T22:09:45.873Z,0.526762,233.2885,2020-11-04T16:09:15.137Z,,2025-12-08T23:02:14.092Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.3,2211220791,53,6864657816,17263664.0,1.31,1.23,0.0496283,3.98491,82092718.0,3.8557,1710641138.988308,5310625747.073818,10000000000.0,2.96,-56.15387,2025-09-18T07:27:06.144Z,0.04746135,2633.398,2025-07-04T03:56:17.448Z,,2025-12-08T23:02:13.585Z
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,4199.48,2193067798,54,2193067798,249154913.0,4219.35,4179.33,8.31,0.19818,4133928.0,0.18886,522089.3,522089.3,,4392.88,-4.40226,2025-10-17T05:01:31.881Z,1447.84,190.05217,2020-03-19T13:45:41.821Z,,2025-12-08T23:02:16.663Z
falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.999194,2188550477,55,2188550477,258589.0,1.001,0.996606,-2.7733960083376e-05,-0.00278,2177440.0,0.09959,2190314064.758059,2190314064.758059,,1.075,-7.01436,2025-05-08T21:25:42.071Z,0.943422,5.91304,2025-07-08T10:16:34.749Z,,2025-12-08T23:02:11.659Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.273268,2101301057,56,4098433593,244301531.0,0.281449,0.264764,0.00560168,2.09279,36636179.0,1.77444,7690625000.0,15000000000.0,15000000000.0,1.52,-82.00952,2024-04-11T13:15:15.057Z,0.195078,39.96547,2024-09-06T21:04:48.253Z,,2025-12-08T23:02:11.712Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,13.44,2080692578,57,2080692578,55172109.0,13.58,13.03,0.382591,2.92897,49959218.0,2.46016,154640702.5745946,154640702.5745946,210700000.0,167.09,-91.94755,2021-05-06T18:34:22.133Z,0.615038,2087.58226,2016-07-25T00:00:00.000Z,"{'times': 28.87761461038822, 'currency': 'usd', 'percentage': 2887.7614610388223}",2025-12-08T23:02:11.677Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2029279036,58,2029279036,0.0,1.0,1.0,0.0,0.0,721174.0,0.03555,2029279036.130449,2029279036.130449,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-12-08T23:00:07.189Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,4.76e-06,2003438827,59,2003438827,488591856.0,5e-06,4.4e-06,3.61586e-07,8.2163,142148711.0,7.63711,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-83.01502,2024-12-09T16:30:35.828Z,5.5142e-08,8533.25382,2023-04-18T02:14:41.591Z,,2025-12-08T23:02:15.088Z
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.948901,1988377882,60,7513073031,280284296.0,0.979336,0.910202,0.03432118,3.75267,70251152.0,3.66249,2096639672.0,7922139508.973094,8000000000.0,2.41,-60.60118,2025-09-24T11:18:14.634Z,0.099713,851.74042,2025-09-17T12:05:36.771Z,,2025-12-08T23:02:09.649Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3127.68,1892247540,61,1892247540,75610471.0,3170.96,3031.42,88.09,2.89795,57051163.0,3.10872,604999.9999588211,604999.9999588211,,4955.78,-36.96194,2025-08-24T19:14:00.505Z,1394.32,124.05413,2025-04-09T01:32:41.942Z,,2025-12-08T23:02:10.141Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,166.66,1886581246,62,1886581246,24859979.0,173.31,163.35,2.86,1.74808,33496023.0,1.80758,11315309.41631898,11315309.41631898,,339.52,-50.80644,2025-01-19T11:21:54.080Z,0.57898,28747.67895,2023-09-12T10:21:17.665Z,,2025-12-08T23:02:12.932Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,3.42,1853417718,63,1853417718,79951921.0,3.56,3.38,0.02680986,0.78972,13094678.0,0.71154,541640589.129738,541640589.129738,,700.65,-99.51133,2021-05-10T16:05:53.653Z,2.23,53.42832,2025-10-10T21:26:36.019Z,,2025-12-08T23:02:12.908Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.219926,1836529126,64,2825429424,16111529.0,0.224515,0.218033,-0.002520114058850303,-1.13291,-16962880.762463093,-0.91518,8346154501.006946,12840237693.85683,100000000000.0,2.99,-92.61586,2025-02-26T16:41:03.732Z,0.172081,28.20079,2025-10-10T21:25:41.582Z,,2025-12-08T23:02:14.847Z
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00768887,1826593312,65,8837100614,24788216.0,0.00776753,0.00746497,0.00020657,2.76071,46561736.0,2.61578,237691557728.96173,1149957243840.366,1150000000000.0,0.00823862,-6.80113,2025-11-24T18:21:22.424Z,0.00222126,245.67333,2025-09-14T08:56:57.416Z,,2025-12-08T23:02:15.171Z
pump-fun,pump,Pump.fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,0.00306787,1809915476,66,3067620541,124047670.0,0.00314211,0.00288156,0.00017311,5.98019,97727436.0,5.70775,590000000000.0,999989305450.1863,1000000000000.0,0.00881908,-65.24393,2025-09-14T16:42:40.248Z,0.00228323,34.24723,2025-07-29T11:15:43.983Z,,2025-12-08T23:02:15.321Z
hash-2,hash,Provenance Blockchain,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,0.03315654,1734639500,67,3332599881,66795.0,0.0333288,0.02617783,0.00683473,25.96602,365568002.0,26.70189,52050638004.0,100000000000.0,100000000000.0,0.060147,-44.58772,2025-09-14T16:52:41.627Z,0.00976953,241.15058,2025-12-04T22:25:33.898Z,,2025-12-08T23:02:12.248Z
wrapped-solana,sol,Wrapped SOL,https://coin-images.coingecko.com/coins/images/21629/large/solana.jpg?1696520989,133.61,1699569576,68,1699569576,711307343.0,139.08,130.99,2.29,1.74303,34192961.0,2.05317,12726427.34689678,12726427.34689678,,290.3,-53.87264,2025-01-19T11:20:39.814Z,8.11,1551.03493,2022-12-29T20:45:41.226Z,,2025-12-08T23:02:09.866Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,4.67,1678594891,69,1678594891,35784058.0,4.76,4.62,0.053752,1.16346,9977867.0,0.59797,359287204.835133,359287204.835133,,5.99,-21.88354,2025-10-06T17:35:59.480Z,0.146839,3085.29787,2023-11-24T05:55:06.706Z,,2025-12-08T23:02:13.030Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.483062,1525617078,70,4829266063,153379513.0,0.49842,0.453432,0.02752979,6.04344,82648344.0,5.72766,3159107529.0,10000000000.0,10000000000.0,2.14,-77.47805,2024-12-16T00:36:00.777Z,0.082171,486.58785,2024-01-18T12:14:30.524Z,,2025-12-08T23:02:14.516Z
htx-dao,htx,HTX DAO,https://coin-images.coingecko.com/coins/images/35491/large/Frame_1321318576.png?1708908626,1.62e-06,1506924848,71,1506924848,6512667.0,1.65e-06,1.62e-06,-2.3953360603e-08,-1.45697,-22321354.427022696,-1.45963,930149437822426.1,930149437822426.1,999990000000000.0,3.75e-06,-56.82669,2024-12-04T00:16:20.770Z,8.00816e-07,102.24936,2024-08-05T13:31:33.427Z,,2025-12-08T23:02:12.430Z
syrupusdc,syrupusdc,syrupUSDC,https://coin-images.coingecko.com/coins/images/54658/large/syrupUSDC.png?1761824955,1.14,1504295472,72,1504295472,5737106.0,1.14,1.14,3.944e-05,0.00346,19433098.0,1.30875,1319251339.019375,1319251339.019375,,1.14,-0.39198,2025-11-24T04:11:48.401Z,1.055,8.11923,2025-08-01T06:27:19.933Z,,2025-12-08T23:02:16.479Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.613428,1459999033,73,6113807332,108642695.0,0.611698,0.562752,0.04697888,8.29357,104024515.0,7.67157,2388035725.014134,10000000000.0,10000000000.0,11.74,-94.86824,2024-03-10T00:10:42.330Z,0.557914,7.99144,2025-12-01T19:35:12.590Z,,2025-12-08T23:02:17.890Z
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4200.15,1428594755,74,1428594755,105622532.0,4225.94,4189.58,-9.753403019723919,-0.23168,-1556097.5158679485,-0.10881,340140.854,340140.854,,4448.72,-5.58738,2025-10-16T23:50:09.513Z,1399.64,200.08774,2019-11-18T03:09:35.959Z,,2025-12-08T23:02:14.952Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.052263,1398492197,75,1409989981,21012971.0,0.053819,0.051123,0.00096211,1.87541,24019185.0,1.74752,26777148610.50726,26997298479.98973,28704026601.0,0.207411,-74.87802,2024-08-01T00:40:47.164Z,0.00017105,30362.36918,2022-05-26T14:42:59.316Z,,2025-12-08T23:02:12.939Z
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.99969,1395481854,76,1395481854,24098774.0,1.0,0.999609,-3.9931317014519e-05,-0.00399,27361620.0,1.99994,1395840311.515166,1395840311.515166,,1.65,-39.56719,2025-01-30T00:11:05.728Z,0.907561,10.17113,2024-11-11T23:55:50.604Z,,2025-12-08T23:02:12.166Z
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,10.22,1325293175,77,1453044332,4759237.0,10.45,10.11,-0.000149494208429246,-0.00146,-3146866.1210329533,-0.23688,129675261.7355671,142175261.7355671,,28.83,-64.55223,2021-12-01T15:09:35.541Z,0.342863,2880.6515,2019-02-07T00:00:00.000Z,,2025-12-08T23:02:13.172Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140,1.79,1320333399,78,2130141442,225235122.0,1.81,1.69,0.09569,5.63438,70278837.0,5.62206,736200087.5967311,1187738125.137111,,19.92,-91.00134,2023-01-26T14:25:17.390Z,1.68,7.01161,2025-12-07T15:05:38.366Z,,2025-12-08T23:02:09.615Z
bfusd,bfusd,BFUSD,https://coin-images.coingecko.com/coins/images/68227/large/bfusd.png?1755132827,0.999203,1318955923,79,1318955923,12479146.0,0.999455,0.998994,-0.000218874011865933,-0.0219,-131302.66505527496,-0.00995,1320000000.0,1320000000.0,,1.007,-0.76722,2025-10-10T21:40:40.468Z,0.99712,0.20851,2025-11-07T12:33:03.134Z,,2025-12-08T23:02:09.878Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3600.81,1315350903,80,1315350903,2510538.0,3651.5,3487.99,106.72,3.05438,38412852.0,3.0082,365420.8131569813,365420.8131569813,,5618.08,-36.03741,2025-08-24T19:25:20.811Z,887.26,305.00604,2022-06-18T20:55:45.957Z,,2025-12-08T23:02:15.482Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/pol.png?1759114181,0.123827,1306773278,81,1306773278,63699088.0,0.125746,0.119834,0.00373177,3.10734,35402037.0,2.78456,10550507479.38306,10550507479.38306,,1.29,-90.40337,2024-03-13T18:55:06.692Z,0.117067,5.54894,2025-12-02T03:35:58.502Z,,2025-12-08T23:02:15.159Z
syrupusdt,syrupusdt,syrupUSDT,https://coin-images.coingecko.com/coins/images/69514/large/syrupUSDT.png?1761824990,1.11,1306284020,82,1306284020,4274851.0,1.11,1.11,-0.000859215921832135,-0.07765,5522776.0,0.42458,1181426433.233677,1181426433.233677,,1.11,-0.22319,2025-12-02T22:23:24.111Z,1.093,1.12498,2025-09-30T09:40:48.362Z,,2025-12-08T23:02:16.532Z
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.11,1303476543,83,1303476543,2664137.0,1.11,1.11,-1.1825358327444e-05,-0.00107,2348237.0,0.18048,1174220742.431294,1174220742.431294,,1.12,-0.60331,2025-03-04T19:26:50.778Z,1.026,8.18441,2024-12-05T22:31:20.475Z,,2025-12-08T23:02:12.226Z
ripple-usd,rlusd,Ripple USD,https://coin-images.coingecko.com/coins/images/39651/large/RLUSD_200x200_%281%29.png?1727376633,0.999923,1293032183,84,1293032183,45649590.0,1.0,0.998907,0.00047806,0.04783,701772.0,0.0543,1293131647.651247,1293131647.651247,,1.073,-6.81594,2024-12-26T10:45:52.337Z,0.962292,3.88692,2024-12-18T04:40:40.880Z,,2025-12-08T23:02:15.607Z
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,0.999794,1288637429,85,1288637429,223292643.0,1.0,0.999492,8.56e-06,0.00086,10485.52,0.00081,1288999879.839804,1288999879.839804,,1.031,-3.03882,2024-03-05T20:15:29.285Z,0.942892,6.0279,2024-12-05T22:30:25.440Z,,2025-12-08T23:02:10.324Z
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,88.38,1285475558,86,1291513688,15730911.0,91.7,87.19,1.11,1.27645,16679530.0,1.3146,14544176.164081175,14612493.0,14612493.0,427.42,-79.33205,2021-09-11T09:15:00.668Z,0.215773,40840.846,2018-08-23T00:00:00.000Z,"{'times': 11.135477624616223, 'currency': 'eth', 'percentage': 1113.5477624616224}",2025-12-08T23:02:15.408Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.053733,1232451570,87,1260868236,9789659.0,0.054267,0.051903,0.00131146,2.50174,32006842.0,2.66625,22933878163.92495,23462665147.36596,23462665147.3,0.100535,-46.59746,2024-12-04T10:13:57.264Z,0.03582727,49.85336,2025-02-03T05:01:48.626Z,,2025-12-08T23:02:16.041Z
wbnb,wbnb,Wrapped BNB,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,899.31,1219234757,88,1218710376,611625490.0,911.49,887.95,9.92,1.11575,17138331.0,1.4257,1355922.712478412,1355339.542974243,,1372.03,-34.48325,2025-10-13T08:47:24.374Z,23.6,3708.4467,2020-09-24T13:48:40.532Z,,2025-12-08T23:02:18.109Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,10.35,1213235379,89,3101727782,2077114.0,10.51,10.12,0.210421,2.07596,24877412.0,2.09343,117344473.53114802,300000000.0,,25.94,-60.11424,2025-01-25T03:07:37.823Z,0.25754,3917.28946,2020-03-13T02:18:02.481Z,,2025-12-08T23:02:11.943Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.212786,1195207863,90,2127405127,115529925.0,0.215023,0.20316,0.00883505,4.33195,48897566.0,4.26565,5618148833.0,10000000000.0,10000000000.0,2.39,-91.10873,2024-01-12T12:29:59.231Z,0.186907,13.70694,2025-12-01T17:41:29.848Z,,2025-12-08T23:02:09.905Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.134141,1183021927,91,1184164399,33496692.0,0.136025,0.131851,0.00212078,1.6064,19988751.0,1.71867,8815741226.656736,8824254790.855303,10000000000.0,3.56,-96.23313,2019-06-20T14:51:19.480Z,0.087513,53.28389,2023-09-11T19:42:08.247Z,"{'times': -0.9441078237906361, 'currency': 'usd', 'percentage': -94.4107823790636}",2025-12-08T23:02:18.650Z
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,145.19,1148967357,92,1148967357,3933938.0,151.28,142.23,2.4,1.68031,22015079.0,1.95351,7913684.316288615,7913684.316288615,,297.96,-51.21795,2025-01-19T11:30:53.744Z,100.21,45.04375,2025-04-07T06:56:20.488Z,,2025-12-08T23:02:10.028Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,5.7,1138980375,93,5694902642,208106053.0,5.75,5.63,0.056116,0.99501,9342682.0,0.82705,199999973.087224,1000000000.0,1000000000.0,73.43,-92.24244,2025-01-19T11:50:34.806Z,4.29,32.76296,2025-01-18T03:40:29.231Z,,2025-12-08T23:02:14.750Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3315.73,1123929020,94,1123929020,853106.0,3359.78,3208.84,106.2,3.30882,33266046.0,3.05008,339193.1226713676,339193.1226713676,,5190.42,-36.23755,2025-08-24T19:13:49.359Z,1029.61,221.43683,2025-09-02T07:53:14.684Z,,2025-12-08T23:02:12.911Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,1.51,1091635087,95,2950034066,113104322.0,1.52,1.45,0.057523,3.96559,41357732.0,3.93779,724804009.0,1958709959.0,,236.84,-99.36485,2021-04-01T13:29:41.564Z,0.848008,77.38944,2025-10-10T21:26:46.200Z,,2025-12-08T23:02:11.864Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,2.26,1087491551,96,1087491551,37981755.0,2.27,2.17,0.080735,3.71089,40401189.0,3.85842,481973335.35231,481973335.35231,,44.45,-94.92438,2022-01-17T00:34:41.497Z,1.16,94.47395,2020-03-13T02:27:44.591Z,"{'times': 21.56347963283868, 'currency': 'usd', 'percentage': 2156.347963283868}",2025-12-08T23:02:11.103Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.01256028,1080137445,97,1080137445,23174412.0,0.01273747,0.01223014,0.00028665,2.33546,24788319.0,2.34883,85985041177.0,85985041177.0,86712634466.0,0.280991,-95.52933,2021-04-19T01:08:21.675Z,0.00191713,555.25953,2020-03-13T02:29:59.652Z,"{'times': 0.403824366263361, 'currency': 'eth', 'percentage': 40.3824366263361}",2025-12-08T23:02:17.326Z
ignition-fbtc,fbtc,Function FBTC,https://coin-images.coingecko.com/coins/images/39182/large/Function_Token_%282%29.png?1760254065,90424.0,1057688826,98,1057688826,79284.0,92946.0,87930.0,1266.29,1.42029,11599742.0,1.10887,11697.0533373,11697.0533373,,127954.0,-29.13105,2025-10-06T12:50:40.428Z,11469.83,690.59372,2024-09-10T18:18:02.102Z,,2025-12-08T23:02:12.584Z
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.013074,1050912689,99,1366399344,4594992.0,0.01327951,0.01289559,0.00015202,1.17641,13249433.0,1.27685,80347768341.73177,104468372228.6273,,0.150073,-91.27605,2023-01-10T03:14:05.921Z,0.00827405,58.23309,2023-10-19T03:35:41.663Z,,2025-12-08T23:02:11.719Z
usdtb,usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/76357aa8-4ef7-446c-bad3-a3f944eeec7a.jpeg?1758277468,1.001,1049865373,100,1049865373,1479631.0,1.005,0.997175,0.00254918,0.25535,270527.0,0.02577,1049530737.146182,1049530737.146182,,1.057,-5.29758,2025-09-20T13:20:33.315Z,0.900502,11.1624,2025-07-17T08:05:52.672Z,,2025-12-08T23:02:17.075Z
